hungarian,finnish
a,A
á,A
b,b
c,t s
cs,t s h
d,d
dz,d t s
dzs,d t s
e,e
é,e
f,f
g,g
gy,d y
h,h
i,I
í,I
j,j
k,k
l,l
ly,A I
m,m
n,n
ny,N
o,o
ó,o
ö,2
ő,2
õ,2
p,p
q,k U
r,r
s,s h
sz,s
t,t
ty,t
u,U
ú,U
ü,y
ű,U
û,U
v,v
w,v
x,k s
y,I
z,t s
zs,t s h
A,A
Á,A
B,b
C,t s
Cs,t s h
D,d
Dz,d t s
Dzs,d t s
E,e
É,e
F,f
G,g
Gy,d y
H,h
I,I
Í,I
J,j
K,k
L,l
Ly,A I
M,m
N,n
Ny,N
O,o
Ó,o
Ö,2
Ő,2
Õ,2
P,p
Q,k U
R,r
S,s h
Sz,s
T,t
Ty,t
U,U
Ú,U
Ü,y
Ű,U
Û,U
V,v
W,v
X,k s
Y,I
Z,t s
Zs,t s h
CS,t s h
DZ,d t s
DZS,d t s
GY,d y
LY,A I
NY,N
SZ,s
TY,t
ZS,t s h
